序號,行政區,屬性,機構名稱,機構類型,地址,Lng(TWD97),Lat(TWD97),x,y
30,士林區,公設民營,臺北市三玉啟能中心,住宿機構,臺北市士林區忠誠路二段53巷7號3、4、7樓,303689.9063,2778225,121.5323792,25.11142349
31,士林區,公設民營,臺北市永福之家,住宿機構,臺北市士林區永福里5鄰莊頂路2號,305415.1875,2778159,121.5494766,25.11076546
32,士林區,公立,臺北市立陽明教養院(華岡院區),住宿機構,臺北市士林區陽明里8鄰凱旋路61巷4弄9號,304569.5938,2780859,121.5412064,25.13517189
33,士林區,私立,臺北市私立聖安娜之家,住宿機構,臺北市士林區中山北路七段181巷1號,303668,2779673,121.5322113,25.12449646
34,大同區,公設民營,臺北市大龍養護中心,住宿機構,臺北市大同區民族西路105號1-3樓,302167.9063,2773499,121.5171051,25.06881142
35,中正區,公設民營,臺北市弘愛服務中心,住宿機構,臺北市中正區濟南路二段46號四樓,303572.1875,2770352,121.5308991,25.04035187
36,中正區,私立,臺北市私立創世清寒植物人安養院,住宿機構,臺北市中正區北平東路28號2樓,303012.5,2770960,121.5253754,25.04586029
37,內湖區,公設民營,臺北市金龍發展中心,住宿機構,臺北市內湖區金龍路136-1號,309513.5938,2775410,121.5899963,25.08579254
38,文山區,公設民營,臺北市興隆照顧中心,住宿機構,臺北市文山區興隆路四段105巷45號2樓,306786.1875,2764584.75,121.5625153,24.98816681
39,文山區,公設民營,臺北市興隆照顧中心,住宿機構,臺北市文山區興隆路四段105巷45號2樓,306786.1875,2764584.75,121.5625153,24.98816681
40,文山區,私立,臺北市私立心路社區家園,團體家庭,臺北市文山區興旺里22鄰福興路63巷4弄29號一樓,305414.8125,2766408,121.5490036,25.00467873
41,文山區,私立,臺北市私立文山創世清寒植物人安養院,住宿機構,臺北市文山區萬和街8號五樓,307305.9063,2766120,121.5677261,25.00200844
42,北投區,私立,臺北市私立彩虹村家園,住宿機構,臺北市北投區泉源路華南巷18號一樓,301121.5938,2781411,121.5070267,25.14027596
43,北投區,私立,臺北市私立陽明養護中心,住宿機構,臺北市北投區公?路209巷18號,301303.0313,2779998.5,121.5087738,25.1275177
44,北投區,私立,臺北市私立陽明養護中心,住宿機構,臺北市北投區公?路209巷18號,301303.0313,2779998.5,121.5087738,25.1275177
45,信義區,私立,臺北市私立永愛發展中心,住宿機構,臺北市信義區信義路五段150巷316號五樓,307483.8125,2768879,121.569603,25.02690887
46,南港區,公設民營,臺北市南港養護中心,住宿機構,臺北市南港區松河街550號一樓,310390.8125,2772337,121.5985565,25.05801392
47,南港區,公設民營,臺北市東明扶愛家園,住宿機構,臺北市南港區南港路二段38巷8弄1號,310969.7813,2772012.5,121.6042862,25.05506134
48,南港區,公設民營,臺北市東明扶愛家園,住宿機構,臺北市南港區南港路二段38巷8弄1號,310969.7813,2772012.5,121.6042786,25.05506134
49,文山區,公設民營,臺北市一壽照顧中心,住宿機構,臺北市文山區樟新里5鄰一壽街22號三、四樓,306159.9063,2763646,121.5562744,24.97971535
50,萬華區,公設民營,臺北市萬大社區居住家園,B0102,臺北市萬華區萬大路411、413號,300526.1875,2769426,121.500679,25.03209686
51,中正區,公設民營,臺北市健軍團體家庭,團體家庭,臺北市中正區富水里4鄰汀州路三段60巷2弄6號,303564.4063,2767599,121.5307159,25.01549721
52,文山區,公設民營,臺北市興隆團體家庭,團體家庭,臺北市文山區木柵路二段138巷33號3樓,306765.4063,2764570,121.5623093,24.9880352
53,文山區,公設民營,臺北市興隆團體家庭,團體家庭,臺北市文山區木柵路二段138巷33號3樓,306765.4063,2764570,121.5623093,24.9880352
54,信義區,公設民營,臺北市三興團體家庭,團體家庭,臺北市信義區景勤里5鄰吳興街156巷6號3樓,306527.4063,2769037,121.5601349,25.02837181
55,士林區,私立,臺北市私立自立社區學園,日間服務機構,臺北市士林區德行西路93巷7號地下一樓之1,302533.9063,2777495,121.5208817,25.10487366
56,大同區,公設民營,臺北市大同發展中心(兼辦早療服務),日間服務機構,臺北市大同區昌吉街52號六-七樓,302092.0938,2773167,121.5163422,25.06581688
57,中山區,公設民營,臺北市博愛發展中心,日間服務機構,臺北市中山區敬業三路160號,306150.5,2774702,121.556633,25.07952881
58,中山區,私立,臺北市私立陽光重建中心,日間服務機構,臺北市中山區南京東路三段91號三樓,304380.8125,2771663,121.5389633,25.05215836
59,中山區,私立,臺北市私立心路兒童發展中心(兼辦早療服務),日間服務機構,臺北市中山區復興北路232號,304878.5938,2772227,121.5439224,25.0572319
60,中正區,公設民營,臺北市城中發展中心,日間服務機構,臺北市中正區汀州路二段172號,302688.3125,2768512,121.5220718,25.02377129
61,中正區,公設民營,臺北市南海發展中心,日間服務機構,臺北市中正區延平南路207號1-2樓,301230.4688,2769516,121.5076675,25.0328846
62,中正區,公設民營,臺北市南海發展中心,日間服務機構,臺北市中正區延平南路207號1-2樓,301230.4688,2769516,121.5076675,25.03288651
63,內湖區,私立,臺北市私立婦幼家園(兼辦早療服務),日間服務機構,臺北市內湖區民權東路六段180巷42弄6號,309721.8125,2773313,121.5919724,25.06685257
64,文山區,公設民營,臺北市萬芳啟能中心,日間服務機構,臺北市文山區萬美街一段51號1樓,307382.3125,2766153,121.5684815,25.00230408
65,文山區,公設民營,臺北市萬芳發展中心(兼辦早療服務),日間服務機構,臺北市文山區萬美街一段55號二樓,307345.3125,2766157,121.5681152,25.00234032
66,北投區,公設民營,臺北市永明發展中心(兼辦早療服務),日間服務機構,臺北市北投區永明里4鄰石牌路二段115號四至六樓,302195.3125,2778978,121.5175858,25.11827469
67,中正區,私立,臺北市私立至德聽語中心(提供早療服務),日間服務機構,臺北市中正區0鄰中華路一段77號三樓,301239.8125,2770187,121.507782,25.03894234
68,北投區,私立,臺北市私立育成裕民發展中心,日間服務機構,臺北市北投區裕民一路41巷2弄18號,302291.6875,2778806,121.5185318,25.11671829
69,松山區,公設民營,臺北市慈祐發展中心,日間服務機構,臺北市松山區八德路四段688號3-4樓,308207.6875,2771424,121.5768814,25.04985809
70,信義區,公設民營,臺北市恆愛發展中心,日間服務機構,臺北市信義區松隆路36號六樓,307279.5,2770676,121.5676498,25.04314041
71,信義區,私立,臺北市私立第一兒童發展中心(兼辦早療服務),日間服務機構,臺北市信義區信義路五段150巷316號一樓,307483.8125,2768879,121.569603,25.02690887
