SeqNo,PKTYPE1,ZONE,PKROAD
4,身心障礙專用(機車),文山,萬芳路
4,身心障礙專用(機車),中正,徐州路
4,身心障礙專用(機車),中正,金山南路一段
4,身心障礙專用(機車),中正,徐州路
4,身心障礙專用(機車),中正,重慶南路三段3巷
4,身心障礙專用(機車),信義,
4,身心障礙專用(機車),文山,萬芳路
4,身心障礙專用(機車),文山,新光路二段
4,身心障礙專用(機車),信義,
4,身心障礙專用(機車),文山,景華街
4,身心障礙專用(機車),文山,景華街
4,身心障礙專用(機車),大安,延吉廢鐵道
4,身心障礙專用(機車),大安,延吉廢鐵道
4,身心障礙專用(機車),中正,濟南路二段
4,身心障礙專用(機車),中正,濟南路二段
4,身心障礙專用(機車),大安,師大路
4,身心障礙專用(機車),大安,敦化南路二段
4,身心障礙專用(機車),中正,金山南路一段
4,身心障礙專用(機車),大安,安和路二段171巷
4,身心障礙專用(機車),信義,嘉興街175巷
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中正,廈門街113巷
4,身心障礙專用(機車),中正,濟南路二段
4,身心障礙專用(機車),中正,濟南路二段
4,身心障礙專用(機車),中正,杭州南路一段
4,身心障礙專用(機車),中正,南昌路二段
4,身心障礙專用(機車),中正,南昌路二段
4,身心障礙專用(機車),大安,羅斯福路三段269巷
4,身心障礙專用(機車),大安,安和路一段112巷
4,身心障礙專用(機車),文山,景中街30巷
4,身心障礙專用(機車),文山,景中街30巷
4,身心障礙專用(機車),中正,新生南路一段58巷
4,身心障礙專用(機車),大安,樂利路
4,身心障礙專用(機車),中正,南昌路二段
4,身心障礙專用(機車),信義,嘉興街
4,身心障礙專用(機車),信義,嘉興街
4,身心障礙專用(機車),中正,汀州路二段
4,身心障礙專用(機車),信義,永吉路120巷
4,身心障礙專用(機車),大安,通化街
4,身心障礙專用(機車),大安,通化街
4,身心障礙專用(機車),大安,安和路二段74巷
4,身心障礙專用(機車),大安,敦化南路2段172巷
4,身心障礙專用(機車),大安,延吉街
4,身心障礙專用(機車),大安,復興南路2段151巷
4,身心障礙專用(機車),信義,莊敬路239巷
4,身心障礙專用(機車),信義,莊敬路239巷
4,身心障礙專用(機車),文山,景華街
4,身心障礙專用(機車),大安,四維路198巷
4,身心障礙專用(機車),大安,四維路198巷
4,身心障礙專用(機車),大安,和平東路三段308巷
4,身心障礙專用(機車),文山,新光路一段
4,身心障礙專用(機車),信義,吳興街
4,身心障礙專用(機車),大安,安東街
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中正,牯嶺街95巷
4,身心障礙專用(機車),中正,牯嶺街95巷
4,身心障礙專用(機車),中正,金山南路一段
4,身心障礙專用(機車),中正,金山南路一段
4,身心障礙專用(機車),中正,汀州路三段
4,身心障礙專用(機車),大安,大安路1段21號
4,身心障礙專用(機車),大安,大安路1段21號
4,身心障礙專用(機車),大安,復興南路一段135巷
4,身心障礙專用(機車),大安,復興南路一段135巷
4,身心障礙專用(機車),大安,復興南路一段135巷
4,身心障礙專用(機車),大安,復興南路一段135巷
4,身心障礙專用(機車),文山,試院路
4,身心障礙專用(機車),大安,仁愛路4段8巷
4,身心障礙專用(機車),大安,仁愛路4段122巷口
4,身心障礙專用(機車),文山,景後街149巷旁
4,身心障礙專用(機車),文山,景後街149巷旁
4,身心障礙專用(機車),信義,吳興街
4,身心障礙專用(機車),中正,牯嶺街
4,身心障礙專用(機車),文山,辛亥路七段
4,身心障礙專用(機車),文山,辛亥路七段
4,身心障礙專用(機車),文山,福興路82巷
4,身心障礙專用(機車),大安,羅斯福路三段283巷
4,身心障礙專用(機車),文山,興隆路四段115巷9弄
4,身心障礙專用(機車),大安,臥龍街
4,身心障礙專用(機車),大安,忠孝東路四段181巷10弄
4,身心障礙專用(機車),文山,羅斯福路五段170巷
4,身心障礙專用(機車),中正,汀州路三段
4,身心障礙專用(機車),信義,信義路五段150巷401弄
4,身心障礙專用(機車),信義,信義路五段150巷401弄
4,身心障礙專用(機車),文山,景興路
4,身心障礙專用(機車),大同,大龍街
4,身心障礙專用(機車),大同,大龍街
4,身心障礙專用(機車),大同,寧夏路
4,身心障礙專用(機車),大同,太原路
4,身心障礙專用(機車),士林,後港街
4,身心障礙專用(機車),士林,後港街
4,身心障礙專用(機車),文山,木柵路三段48巷
4,身心障礙專用(機車),松山,八德路三段451巷
4,身心障礙專用(機車),松山,八德路三段451巷
4,身心障礙專用(機車),中山,新生北路二段
4,身心障礙專用(機車),大安,敦化南路一段181巷10弄
4,身心障礙專用(機車),大安,杭州南路二段25巷
4,身心障礙專用(機車),中山,農安街
4,身心障礙專用(機車),中山,農安街
4,身心障礙專用(機車),松山,撫遠街405巷29弄
4,身心障礙專用(機車),松山,撫遠街405巷29弄
4,身心障礙專用(機車),北投,裕民六路
4,身心障礙專用(機車),北投,裕民六路
4,身心障礙專用(機車),士林,華聲街
4,身心障礙專用(機車),士林,忠誠路二段
4,身心障礙專用(機車),士林,天母東路
4,身心障礙專用(機車),士林,中山北路6段
4,身心障礙專用(機車),士林,中山北路6段
4,身心障礙專用(機車),萬華,青年路
